power.draw [W]
187.69 W
14.89 W
14.72 W
209.32 W
187.69 W
14.89 W
14.81 W
218.79 W
187.98 W
14.89 W
14.81 W
218.69 W
188.36 W
14.89 W
14.72 W
218.88 W
188.36 W
14.89 W
14.81 W
218.50 W
188.76 W
14.90 W
14.82 W
151.85 W
188.55 W
14.89 W
14.81 W
218.02 W
188.65 W
14.89 W
14.81 W
217.62 W
188.74 W
14.89 W
14.81 W
217.34 W
186.00 W
14.89 W
14.81 W
212.16 W
187.21 W
14.89 W
14.81 W
214.08 W
187.60 W
14.89 W
14.81 W
215.00 W
187.98 W
14.89 W
14.81 W
214.01 W
188.65 W
14.89 W
14.81 W
212.35 W
188.46 W
14.89 W
14.81 W
209.98 W
188.84 W
14.80 W
14.91 W
218.31 W
188.74 W
14.89 W
14.81 W
218.02 W
188.55 W
14.99 W
14.81 W
218.31 W
188.74 W
14.89 W
14.81 W
218.31 W
185.33 W
14.89 W
14.81 W
218.21 W
186.74 W
14.80 W
14.81 W
218.21 W
187.69 W
14.99 W
14.81 W
218.03 W
188.07 W
14.89 W
15.00 W
217.64 W
188.36 W
14.89 W
14.81 W
217.64 W
188.36 W
14.80 W
14.81 W
217.33 W
183.12 W
14.90 W
14.81 W
216.32 W
187.79 W
14.89 W
14.81 W
215.65 W
188.07 W
14.80 W
14.81 W
215.62 W
188.36 W
14.89 W
14.81 W
214.34 W
188.46 W
14.89 W
14.81 W
212.83 W
188.30 W
14.90 W
14.83 W
103.00 W
184.85 W
14.97 W
14.89 W
211.58 W
186.19 W
14.96 W
14.98 W
213.52 W
187.05 W
15.16 W
14.99 W
212.98 W
187.24 W
15.06 W
14.99 W
211.82 W
188.21 W
15.06 W
14.99 W
209.21 W
188.47 W
15.06 W
14.89 W
218.12 W
188.37 W
15.06 W
14.98 W
218.13 W
188.78 W
14.96 W
14.98 W
218.19 W
188.88 W
15.06 W
14.89 W
218.23 W
188.60 W
14.97 W
14.88 W
219.08 W
185.62 W
14.96 W
14.98 W
218.50 W
186.77 W
14.97 W
14.98 W
218.03 W
187.26 W
15.16 W
14.98 W
218.32 W
187.82 W
15.16 W
14.89 W
218.32 W
187.64 W
15.06 W
14.98 W
218.03 W
188.60 W
14.97 W
14.98 W
217.60 W
188.50 W
14.96 W
14.98 W
217.26 W
188.98 W
15.06 W
14.98 W
216.44 W
188.79 W
14.96 W
14.98 W
215.96 W
188.68 W
15.07 W
14.98 W
214.49 W
