power.draw [W]
227.24 W
207.18 W
180.12 W
188.25 W
232.39 W
206.51 W
180.18 W
184.76 W
243.85 W
205.74 W
172.26 W
185.81 W
219.25 W
204.56 W
170.08 W
186.45 W
230.21 W
203.62 W
169.05 W
187.30 W
251.05 W
210.47 W
172.62 W
188.16 W
209.58 W
187.69 W
171.91 W
187.59 W
228.75 W
211.99 W
171.13 W
188.16 W
254.38 W
212.11 W
80.96 W
187.79 W
219.99 W
212.36 W
191.55 W
188.51 W
236.27 W
212.16 W
184.96 W
188.41 W
252.46 W
212.17 W
179.64 W
188.60 W
232.11 W
211.96 W
178.75 W
188.22 W
236.55 W
212.15 W
176.58 W
188.32 W
249.53 W
212.44 W
180.39 W
185.04 W
232.39 W
212.05 W
179.90 W
185.70 W
238.17 W
212.33 W
179.74 W
186.92 W
240.27 W
211.99 W
178.78 W
157.31 W
236.00 W
212.15 W
173.28 W
186.92 W
242.49 W
212.05 W
177.15 W
187.68 W
227.52 W
212.27 W
177.06 W
187.59 W
224.73 W
211.99 W
176.88 W
187.97 W
251.80 W
211.41 W
175.54 W
187.94 W
218.75 W
211.53 W
169.52 W
188.27 W
231.14 W
211.15 W
177.06 W
188.35 W
257.46 W
210.91 W
176.82 W
188.54 W
231.74 W
96.54 W
175.99 W
188.44 W
237.03 W
212.25 W
173.47 W
188.65 W
250.62 W
212.35 W
177.56 W
188.35 W
233.85 W
212.24 W
177.25 W
184.84 W
239.99 W
212.84 W
108.66 W
185.82 W
241.08 W
212.16 W
170.77 W
186.54 W
229.89 W
212.52 W
196.72 W
187.26 W
248.92 W
212.59 W
183.15 W
187.29 W
216.67 W
212.55 W
180.00 W
187.97 W
229.41 W
211.99 W
185.03 W
187.97 W
258.60 W
212.47 W
177.19 W
126.65 W
224.07 W
212.18 W
176.31 W
186.92 W
234.15 W
212.18 W
175.26 W
187.78 W
246.48 W
211.97 W
168.86 W
187.97 W
234.23 W
212.23 W
176.77 W
188.08 W
237.41 W
211.51 W
176.69 W
188.53 W
232.80 W
211.90 W
175.64 W
188.25 W
234.86 W
211.71 W
172.24 W
188.16 W
246.56 W
211.77 W
177.10 W
188.16 W
209.71 W
211.14 W
176.87 W
188.35 W
237.26 W
210.38 W
176.58 W
188.44 W
251.57 W
199.55 W
173.84 W
188.44 W
232.62 W
209.05 W
177.14 W
184.85 W
233.75 W
208.69 W
177.25 W
185.51 W
240.37 W
207.60 W
176.49 W
186.25 W
232.95 W
206.41 W
176.21 W
187.21 W
239.04 W
207.18 W
172.43 W
187.89 W
227.31 W
206.15 W
85.96 W
187.81 W
230.02 W
205.32 W
191.55 W
188.22 W
251.75 W
204.03 W
186.35 W
162.90 W
218.24 W
209.24 W
179.23 W
187.97 W
235.77 W
212.90 W
176.11 W
188.08 W
245.99 W
212.92 W
180.39 W
188.43 W
228.70 W
212.93 W
179.26 W
188.25 W
240.34 W
213.18 W
176.60 W
188.25 W
231.49 W
212.71 W
175.07 W
188.54 W
233.69 W
212.37 W
169.88 W
188.82 W
252.27 W
212.92 W
177.33 W
188.75 W
221.04 W
212.92 W
176.88 W
188.62 W
229.35 W
212.46 W
175.74 W
185.61 W
248.92 W
212.63 W
171.66 W
186.25 W
235.43 W
94.74 W
177.11 W
187.11 W
237.57 W
212.42 W
177.24 W
187.21 W
231.40 W
212.33 W
176.60 W
187.40 W
230.77 W
212.55 W
174.88 W
187.87 W
245.53 W
211.97 W
171.47 W
188.35 W
211.02 W
211.90 W
177.15 W
188.44 W
232.42 W
211.77 W
177.26 W
188.44 W
255.05 W
211.99 W
176.11 W
92.95 W
222.32 W
213.10 W
173.45 W
84.93 W
234.92 W
212.28 W
81.36 W
175.39 W
248.04 W
211.76 W
201.05 W
192.26 W
234.61 W
211.58 W
189.73 W
192.08 W
241.75 W
211.42 W
183.67 W
192.55 W
230.83 W
210.92 W
181.44 W
190.56 W
227.06 W
210.73 W
179.64 W
190.05 W
256.19 W
210.66 W
180.02 W
190.39 W
225.62 W
209.44 W
179.74 W
191.23 W
235.18 W
208.69 W
178.94 W
191.51 W
248.72 W
207.71 W
175.36 W
191.79 W
234.42 W
206.51 W
180.22 W
192.06 W
239.13 W
140.04 W
180.17 W
192.01 W
226.53 W
92.09 W
179.38 W
192.35 W
234.76 W
91.52 W
174.75 W
192.40 W
254.99 W
164.06 W
172.26 W
192.70 W
234.36 W
208.41 W
177.25 W
192.51 W
229.70 W
209.63 W
177.25 W
191.46 W
253.66 W
208.56 W
176.12 W
190.02 W
235.54 W
208.68 W
166.69 W
190.98 W
235.09 W
208.50 W
177.14 W
186.46 W
239.86 W
207.33 W
177.25 W
190.02 W
236.77 W
206.32 W
175.93 W
190.96 W
245.71 W
205.15 W
172.90 W
191.35 W
217.60 W
203.96 W
177.29 W
191.92 W
233.29 W
207.89 W
190.79 W
191.79 W
252.47 W
212.42 W
184.40 W
192.46 W
235.36 W
212.06 W
178.41 W
192.17 W
237.54 W
212.90 W
174.23 W
192.63 W
230.84 W
212.61 W
180.60 W
193.01 W
236.20 W
212.72 W
180.02 W
192.85 W
250.45 W
211.97 W
178.42 W
191.70 W
219.99 W
212.73 W
175.92 W
188.35 W
233.46 W
212.24 W
177.14 W
184.85 W
251.46 W
212.54 W
177.44 W
185.70 W
236.37 W
95.87 W
176.18 W
186.63 W
240.99 W
211.73 W
174.13 W
186.92 W
228.84 W
212.23 W
174.23 W
187.87 W
230.91 W
211.99 W
177.43 W
187.78 W
255.68 W
211.65 W
177.07 W
182.40 W
236.69 W
211.77 W
175.58 W
185.42 W
236.29 W
210.96 W
170.64 W
185.79 W
244.10 W
210.47 W
177.06 W
186.45 W
230.91 W
210.85 W
177.15 W
187.02 W
248.14 W
210.38 W
175.93 W
187.49 W
218.00 W
209.82 W
172.65 W
187.40 W
233.69 W
209.18 W
93.46 W
188.08 W
254.74 W
209.33 W
194.09 W
188.40 W
233.65 W
208.56 W
185.29 W
188.35 W
233.65 W
207.93 W
175.64 W
188.54 W
242.54 W
207.45 W
171.95 W
188.75 W
233.66 W
206.79 W
177.14 W
188.35 W
251.09 W
205.54 W
177.07 W
188.55 W
218.60 W
203.78 W
176.24 W
188.44 W
231.78 W
203.92 W
174.14 W
185.31 W
252.66 W
211.95 W
177.08 W
186.73 W
232.01 W
204.32 W
177.52 W
187.21 W
240.46 W
211.67 W
176.79 W
187.21 W
234.40 W
211.61 W
175.08 W
184.77 W
233.37 W
211.90 W
169.21 W
186.83 W
257.54 W
211.09 W
177.08 W
187.59 W
226.13 W
211.24 W
177.07 W
187.68 W
235.83 W
210.77 W
175.74 W
187.98 W
246.85 W
210.47 W
172.14 W
188.25 W
235.34 W
210.26 W
177.00 W
187.75 W
246.56 W
209.78 W
176.58 W
188.16 W
217.51 W
209.44 W
176.68 W
188.54 W
236.20 W
209.21 W
174.03 W
188.72 W
259.03 W
208.39 W
177.65 W
188.41 W
238.59 W
207.65 W
152.09 W
188.35 W
236.96 W
206.70 W
190.07 W
184.95 W
244.76 W
206.67 W
183.80 W
185.79 W
233.08 W
205.54 W
182.40 W
186.45 W
247.31 W
204.24 W
173.27 W
187.40 W
214.04 W
203.50 W
180.22 W
187.21 W
236.59 W
213.49 W
179.55 W
187.60 W
255.59 W
94.14 W
176.62 W
188.00 W
236.86 W
212.65 W
173.97 W
186.47 W
238.20 W
212.90 W
177.25 W
187.70 W
232.91 W
212.61 W
177.33 W
187.97 W
237.35 W
212.90 W
176.98 W
187.78 W
258.20 W
212.79 W
175.26 W
188.54 W
220.28 W
212.82 W
162.41 W
188.25 W
231.29 W
