package-1 ,dram ,package-0 ,dram ,
00.00,00.00,00.00,00.00,
70.119,8.027,74.387,8.621,
69.141,7.907,78.32,9.101,
68.267,7.832,74.428,9.008,
66.691,7.89,72.318,8.962,
67.861,7.988,68.124,8.447,
65.052,8.241,73.031,8.865,
71.194,8.248,71.365,8.702,
67.936,8.014,70.616,8.517,
69.56,7.974,66.694,8.757,
67.565,8.21,69.94,8.753,
67.514,8.179,69.781,8.914,
64.636,8.354,73.786,8.74,
64.757,8.429,73.584,8.651,
63.493,8.155,73.544,8.797,
64.532,8.326,73.302,8.618,
63.587,8.099,73.224,8.806,
63.454,8.271,73.67,8.752,
63.62,8.174,73.909,8.853,
62.85,8.065,73.637,8.837,
63.287,8.039,73.476,8.839,
62.935,7.977,74.166,8.891,
62.181,7.914,72.829,8.797,
64.963,7.951,74.719,9.036,
62.813,7.886,73.993,9.038,
62.012,7.807,73.783,8.991,
62.695,7.801,73.891,9.044,
62.117,7.768,73.987,9.025,
62.733,7.784,73.493,8.978,
64.713,8.055,72.495,8.892,
69.991,8.438,66.923,8.5,
71.548,8.496,65.659,8.317,
71.83,8.505,65.698,8.343,
71.714,8.447,67.498,8.373,
71.255,8.448,65.784,8.346,
70.905,8.493,65.66,8.329,
71.265,8.471,65.981,8.322,
71.684,8.511,65.807,8.338,
71.194,8.506,65.893,8.343,
71.61,8.509,66.058,8.345,
71.226,8.499,65.775,8.333,
71.662,8.511,65.669,8.346,
74.662,8.527,66.032,8.336,
73.79,8.599,65.711,8.313,
71.644,8.498,65.971,8.322,
71.65,8.506,66.808,8.391,
70.448,8.423,65.682,8.337,
70.993,8.516,66.136,8.342,
71.404,8.512,65.961,8.33,
71.617,8.503,65.799,8.351,
71.291,8.499,65.902,8.331,
70.799,8.482,65.883,8.326,
71.496,8.529,66.007,8.333,
72.833,8.583,66.551,8.401,
71.762,8.534,66.498,8.26,
71.704,8.531,65.838,8.326,
72.741,8.553,65.582,8.3,
71.525,8.504,66.016,8.317,
73.506,8.583,66.293,8.325,
70.657,8.488,65.655,8.326,
71.202,8.451,66.361,8.315,
72.859,8.503,65.931,8.31,
73.314,8.603,67.04,8.328,
70.288,8.327,66.358,8.334,
70.548,8.518,65.736,8.329,
71.673,8.534,68.577,8.42,
71.877,8.597,69.832,8.429,
73.097,8.625,68.25,8.381,
72.289,8.473,67.291,8.372,
72.198,8.519,67.284,8.362,
71.938,8.481,66.45,8.348,
71.038,8.434,65.786,8.319,
71.131,8.478,66.373,8.313,
70.196,8.253,65.766,8.317,
71.212,8.479,65.69,8.325,
70.92,8.518,66.15,8.333,
71.921,8.518,65.824,8.325,
70.705,8.479,65.826,8.326,
71.325,8.439,65.923,8.324,
71.648,8.5,65.953,8.34,
70.621,8.435,65.853,8.329,
71.568,8.496,66.05,8.346,
71.282,8.475,66.072,8.376,
71.937,8.487,67.147,8.354,
72.257,8.519,68.638,8.426,
70.515,8.42,65.868,8.357,
71.246,8.503,65.803,8.346,
71.463,8.507,67.54,8.429,
70.762,8.449,65.846,8.341,
71.204,8.471,65.926,8.341,
70.57,8.481,66.222,8.36,
71.211,8.506,65.814,8.35,
71.228,8.508,65.903,8.353,
71.004,8.463,66.784,8.385,
71.145,8.473,65.858,8.346,
70.782,8.505,66.074,8.334,
70.412,8.451,67.566,8.365,
71.22,8.451,66.365,8.353,
70.179,8.377,66.024,8.339,
70.452,8.486,66.354,8.343,
70.839,8.479,65.941,8.329,
70.422,8.476,65.708,8.328,
71.069,8.473,66.662,8.373,
70.913,8.432,66.629,8.385,
70.732,8.494,65.547,8.318,
71.237,8.482,66.052,8.341,
70.675,8.504,66.341,8.346,
71.407,8.495,66.647,8.384,
71.05,8.468,66.02,8.328,
70.995,8.479,65.786,8.34,
71.936,8.492,65.661,8.34,
71.341,8.51,65.939,8.348,
71.906,8.481,65.757,8.342,
72.145,8.493,65.755,8.346,
75.505,8.515,67.764,8.401,
71.344,8.484,65.895,8.338,
71.061,8.509,65.781,8.354,
71.358,8.476,65.903,8.371,
72.166,8.579,65.786,8.379,
70.455,8.495,65.657,8.383,
70.947,8.505,69.005,8.419,
75.494,8.633,66.161,8.36,
70.542,8.528,65.676,8.351,
71.277,8.483,65.974,8.372,
71.223,8.485,65.739,8.354,
71.029,8.476,65.976,8.361,
71.212,8.519,65.908,8.333,
72.272,8.557,66.858,8.353,
71.351,8.467,65.712,8.334,
71.608,8.375,68.259,8.415,
70.743,8.439,65.969,8.363,
70.956,8.389,65.784,8.328,
70.613,8.373,66.105,8.357,
71.166,8.474,65.705,8.356,
71.316,8.482,66.052,8.356,
70.795,8.479,65.843,8.339,
71.146,8.452,65.843,8.337,
70.654,8.27,66.281,8.381,
70.245,8.393,65.684,8.305,
70.671,8.463,66.297,8.34,
70.531,8.442,65.765,8.346,
70.257,8.442,66.483,8.347,
70.792,8.482,65.751,8.353,
70.092,8.474,65.708,8.345,
72.429,8.56,67.829,8.396,
70.591,8.464,65.879,8.346,
70.435,8.492,65.729,8.332,
70.588,8.477,65.926,8.332,
72.186,8.524,65.67,8.342,
71.388,8.484,66.158,8.348,
70.979,8.407,65.931,8.336,
70.135,8.475,65.802,8.341,
70.556,8.47,66.131,8.36,
70.494,8.489,65.88,8.328,
71.136,8.483,66.675,8.375,
71.427,8.489,65.731,8.319,
70.924,8.485,65.893,8.336,
